date,cust_id,service_id,amount,hour,day_part,month
2025-01-01 08:00:00,151,2,400,8,Morning,1
2025-01-01 09:00:00,192,2,400,9,Morning,1
2025-01-01 10:00:00,114,1,500,10,Morning,1
2025-01-01 11:00:00,171,2,500,11,Morning,1
2025-01-01 12:00:00,160,1,200,12,Afternoon,1
2025-01-01 13:00:00,120,2,300,13,Afternoon,1
2025-01-01 14:00:00,182,2,400,14,Afternoon,1
2025-01-01 15:00:00,186,2,500,15,Afternoon,1
2025-01-01 16:00:00,174,1,400,16,Afternoon,1
2025-01-01 17:00:00,174,4,500,17,Afternoon,1
2025-01-01 18:00:00,187,2,200,18,Evening,1
2025-01-01 19:00:00,199,1,200,19,Evening,1
2025-01-01 20:00:00,123,1,400,20,Evening,1
2025-01-02 08:00:00,102,2,200,8,Morning,1
2025-01-02 09:00:00,121,2,400,9,Morning,1
2025-01-02 10:00:00,152,4,500,10,Morning,1
2025-01-02 11:00:00,101,1,300,11,Morning,1
2025-01-02 12:00:00,187,1,200,12,Afternoon,1
2025-01-02 13:00:00,129,3,500,13,Afternoon,1
2025-01-02 14:00:00,137,1,300,14,Afternoon,1
2025-01-02 15:00:00,101,4,300,15,Afternoon,1
2025-01-02 16:00:00,163,3,300,16,Afternoon,1
2025-01-02 17:00:00,159,3,500,17,Afternoon,1
2025-01-02 18:00:00,120,3,500,18,Evening,1
2025-01-02 19:00:00,132,2,400,19,Evening,1
2025-01-02 20:00:00,175,2,300,20,Evening,1
2025-01-03 08:00:00,157,1,300,8,Morning,1
2025-01-03 09:00:00,121,3,300,9,Morning,1
2025-01-03 10:00:00,188,4,400,10,Morning,1
2025-01-03 11:00:00,148,2,300,11,Morning,1
2025-01-03 12:00:00,190,4,500,12,Afternoon,1
2025-01-03 13:00:00,158,4,300,13,Afternoon,1
2025-01-03 14:00:00,141,2,200,14,Afternoon,1
2025-01-03 15:00:00,191,2,500,15,Afternoon,1
2025-01-03 16:00:00,159,2,400,16,Afternoon,1
2025-01-03 17:00:00,179,2,300,17,Afternoon,1
2025-01-03 18:00:00,114,3,200,18,Evening,1
2025-01-03 19:00:00,161,3,400,19,Evening,1
2025-01-03 20:00:00,161,3,400,20,Evening,1
2025-01-04 08:00:00,146,3,500,8,Morning,1
2025-01-04 09:00:00,161,1,400,9,Morning,1
2025-01-04 10:00:00,150,3,400,10,Morning,1
2025-01-04 11:00:00,154,2,400,11,Morning,1
2025-01-04 12:00:00,163,4,400,12,Afternoon,1
2025-01-04 13:00:00,102,3,300,13,Afternoon,1
2025-01-04 14:00:00,150,1,300,14,Afternoon,1
2025-01-04 15:00:00,106,2,300,15,Afternoon,1
2025-01-04 16:00:00,120,4,300,16,Afternoon,1
2025-01-04 17:00:00,172,4,200,17,Afternoon,1
2025-01-04 18:00:00,138,3,300,18,Evening,1
2025-01-04 19:00:00,117,4,400,19,Evening,1
2025-01-04 20:00:00,103,3,300,20,Evening,1
2025-01-05 08:00:00,188,3,300,8,Morning,1
2025-01-05 09:00:00,159,2,500,9,Morning,1
2025-01-05 10:00:00,113,2,400,10,Morning,1
2025-01-05 11:00:00,108,1,300,11,Morning,1
2025-01-05 12:00:00,189,2,300,12,Afternoon,1
2025-01-05 13:00:00,152,2,300,13,Afternoon,1
2025-01-05 14:00:00,101,3,200,14,Afternoon,1
2025-01-05 15:00:00,183,2,300,15,Afternoon,1
2025-01-05 16:00:00,191,3,500,16,Afternoon,1
2025-01-05 17:00:00,159,3,400,17,Afternoon,1
2025-01-05 18:00:00,170,2,400,18,Evening,1
2025-01-05 19:00:00,143,1,300,19,Evening,1
2025-01-05 20:00:00,107,1,300,20,Evening,1
2025-01-06 08:00:00,146,4,300,8,Morning,1
2025-01-06 09:00:00,134,4,400,9,Morning,1
2025-01-06 10:00:00,177,2,400,10,Morning,1
2025-01-06 11:00:00,180,1,200,11,Morning,1
2025-01-06 12:00:00,135,3,500,12,Afternoon,1
2025-01-06 13:00:00,149,4,200,13,Afternoon,1
2025-01-06 14:00:00,103,3,500,14,Afternoon,1
2025-01-06 15:00:00,101,4,200,15,Afternoon,1
2025-01-06 16:00:00,105,2,400,16,Afternoon,1
2025-01-06 17:00:00,153,1,200,17,Afternoon,1
2025-01-06 18:00:00,103,4,500,18,Evening,1
2025-01-06 19:00:00,153,1,300,19,Evening,1
2025-01-06 20:00:00,192,3,500,20,Evening,1
2025-01-07 08:00:00,162,2,300,8,Morning,1
2025-01-07 09:00:00,117,1,400,9,Morning,1
2025-01-07 10:00:00,189,2,500,10,Morning,1
2025-01-07 11:00:00,143,1,200,11,Morning,1
2025-01-07 12:00:00,133,3,500,12,Afternoon,1
2025-01-07 13:00:00,173,3,300,13,Afternoon,1
2025-01-07 14:00:00,161,2,400,14,Afternoon,1
2025-01-07 15:00:00,199,3,200,15,Afternoon,1
2025-01-07 16:00:00,113,4,500,16,Afternoon,1
2025-01-07 17:00:00,194,1,300,17,Afternoon,1
2025-01-07 18:00:00,147,3,200,18,Evening,1
2025-01-07 19:00:00,114,4,400,19,Evening,1
2025-01-07 20:00:00,171,2,200,20,Evening,1
2025-01-08 08:00:00,177,4,400,8,Morning,1
2025-01-08 09:00:00,186,2,200,9,Morning,1
2025-01-08 10:00:00,161,2,500,10,Morning,1
2025-01-08 11:00:00,139,1,300,11,Morning,1
2025-01-08 12:00:00,184,1,500,12,Afternoon,1
2025-01-08 13:00:00,179,4,500,13,Afternoon,1
2025-01-08 14:00:00,181,1,400,14,Afternoon,1
2025-01-08 15:00:00,152,1,400,15,Afternoon,1
2025-01-08 16:00:00,123,1,400,16,Afternoon,1
2025-01-08 17:00:00,125,4,500,17,Afternoon,1
2025-01-08 18:00:00,188,3,200,18,Evening,1
2025-01-08 19:00:00,159,1,200,19,Evening,1
2025-01-08 20:00:00,140,1,500,20,Evening,1
2025-01-09 08:00:00,128,4,500,8,Morning,1
2025-01-09 09:00:00,114,3,300,9,Morning,1
2025-01-09 10:00:00,144,1,400,10,Morning,1
2025-01-09 11:00:00,164,2,400,11,Morning,1
2025-01-09 12:00:00,188,4,500,12,Afternoon,1
2025-01-09 13:00:00,170,1,500,13,Afternoon,1
2025-01-09 14:00:00,108,1,200,14,Afternoon,1
2025-01-09 15:00:00,187,2,500,15,Afternoon,1
2025-01-09 16:00:00,100,2,200,16,Afternoon,1
2025-01-09 17:00:00,107,4,500,17,Afternoon,1
2025-01-09 18:00:00,187,4,300,18,Evening,1
2025-01-09 19:00:00,162,2,300,19,Evening,1
2025-01-09 20:00:00,110,4,200,20,Evening,1
2025-01-10 08:00:00,180,2,400,8,Morning,1
2025-01-10 09:00:00,107,1,300,9,Morning,1
2025-01-10 10:00:00,134,2,200,10,Morning,1
2025-01-10 11:00:00,134,2,500,11,Morning,1
2025-01-10 12:00:00,132,3,500,12,Afternoon,1
2025-01-10 13:00:00,104,2,200,13,Afternoon,1
2025-01-10 14:00:00,140,2,400,14,Afternoon,1
2025-01-10 15:00:00,127,3,200,15,Afternoon,1
2025-01-10 16:00:00,106,4,200,16,Afternoon,1
2025-01-10 17:00:00,172,3,300,17,Afternoon,1
2025-01-10 18:00:00,171,1,200,18,Evening,1
2025-01-10 19:00:00,111,3,200,19,Evening,1
2025-01-10 20:00:00,133,1,500,20,Evening,1
2025-01-11 08:00:00,132,4,300,8,Morning,1
2025-01-11 09:00:00,147,3,500,9,Morning,1
2025-01-11 10:00:00,122,3,500,10,Morning,1
2025-01-11 11:00:00,161,4,400,11,Morning,1
2025-01-11 12:00:00,187,1,400,12,Afternoon,1
2025-01-11 13:00:00,136,3,300,13,Afternoon,1
2025-01-11 14:00:00,198,1,300,14,Afternoon,1
2025-01-11 15:00:00,143,3,400,15,Afternoon,1
